Sentença	Id	Index	Granularidade	Documento
Grêmio enfrentou o Internacional em uma partida importante do campeonato.	3	0	0	Grêmio enfrentou o Internacional em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo.	3	1	0	Grêmio enfrentou o Internacional em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos.	3	2	0	Grêmio enfrentou o Internacional em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Após o apito final, o resultado teve impacto direto na classificação da competição.	3	3	0	Grêmio enfrentou o Internacional em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Doc_2	3	-1	1	Grêmio enfrentou o Internacional em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Santos enfrentou o Cruzeiro em uma partida importante do campeonato.	4	0	0	Santos enfrentou o Cruzeiro em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo.	4	1	0	Santos enfrentou o Cruzeiro em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos.	4	2	0	Santos enfrentou o Cruzeiro em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Após o apito final, o resultado teve impacto direto na classificação da competição.	4	3	0	Santos enfrentou o Cruzeiro em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Doc_3	4	-1	1	Santos enfrentou o Cruzeiro em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Atlético Mineiro enfrentou o Bahia em uma partida importante do campeonato.	5	0	0	Atlético Mineiro enfrentou o Bahia em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo.	5	1	0	Atlético Mineiro enfrentou o Bahia em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos.	5	2	0	Atlético Mineiro enfrentou o Bahia em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Após o apito final, o resultado teve impacto direto na classificação da competição.	5	3	0	Atlético Mineiro enfrentou o Bahia em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Doc_4	5	-1	1	Atlético Mineiro enfrentou o Bahia em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Fluminense enfrentou o Botafogo em uma partida importante do campeonato.	6	0	0	Fluminense enfrentou o Botafogo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo.	6	1	0	Fluminense enfrentou o Botafogo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos.	6	2	0	Fluminense enfrentou o Botafogo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Após o apito final, o resultado teve impacto direto na classificação da competição.	6	3	0	Fluminense enfrentou o Botafogo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Doc_5	6	-1	1	Fluminense enfrentou o Botafogo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Vasco enfrentou o Fortaleza em uma partida importante do campeonato.	7	0	0	Vasco enfrentou o Fortaleza em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo.	7	1	0	Vasco enfrentou o Fortaleza em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos.	7	2	0	Vasco enfrentou o Fortaleza em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Após o apito final, o resultado teve impacto direto na classificação da competição.	7	3	0	Vasco enfrentou o Fortaleza em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Doc_6	7	-1	1	Vasco enfrentou o Fortaleza em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Athletico Paranaense enfrentou o Ceará em uma partida importante do campeonato.	8	0	0	Athletico Paranaense enfrentou o Ceará em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo.	8	1	0	Athletico Paranaense enfrentou o Ceará em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos.	8	2	0	Athletico Paranaense enfrentou o Ceará em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Após o apito final, o resultado teve impacto direto na classificação da competição.	8	3	0	Athletico Paranaense enfrentou o Ceará em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Doc_7	8	-1	1	Athletico Paranaense enfrentou o Ceará em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Juventude enfrentou o Sport em uma partida importante do campeonato.	9	0	0	Juventude enfrentou o Sport em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo.	9	1	0	Juventude enfrentou o Sport em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos.	9	2	0	Juventude enfrentou o Sport em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Após o apito final, o resultado teve impacto direto na classificação da competição.	9	3	0	Juventude enfrentou o Sport em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Doc_8	9	-1	1	Juventude enfrentou o Sport em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Goiás enfrentou o Coritiba em uma partida importante do campeonato.	10	0	0	Goiás enfrentou o Coritiba em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo.	10	1	0	Goiás enfrentou o Coritiba em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos.	10	2	0	Goiás enfrentou o Coritiba em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Após o apito final, o resultado teve impacto direto na classificação da competição.	10	3	0	Goiás enfrentou o Coritiba em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Doc_9	10	-1	1	Goiás enfrentou o Coritiba em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Flamengo enfrentou o Palmeiras em uma partida importante do campeonato.	11	0	0	Flamengo enfrentou o Palmeiras em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo.	11	1	0	Flamengo enfrentou o Palmeiras em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos.	11	2	0	Flamengo enfrentou o Palmeiras em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Após o apito final, o resultado teve impacto direto na classificação da competição.	11	3	0	Flamengo enfrentou o Palmeiras em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Doc_10	11	-1	1	Flamengo enfrentou o Palmeiras em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Corinthians enfrentou o São Paulo em uma partida importante do campeonato.	12	0	0	Corinthians enfrentou o São Paulo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo.	12	1	0	Corinthians enfrentou o São Paulo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos.	12	2	0	Corinthians enfrentou o São Paulo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Após o apito final, o resultado teve impacto direto na classificação da competição.	12	3	0	Corinthians enfrentou o São Paulo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Doc_11	12	-1	1	Corinthians enfrentou o São Paulo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Grêmio enfrentou o Internacional em uma partida importante do campeonato.	13	0	0	Grêmio enfrentou o Internacional em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo.	13	1	0	Grêmio enfrentou o Internacional em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos.	13	2	0	Grêmio enfrentou o Internacional em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Após o apito final, o resultado teve impacto direto na classificação da competição.	13	3	0	Grêmio enfrentou o Internacional em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Doc_12	13	-1	1	Grêmio enfrentou o Internacional em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Santos enfrentou o Cruzeiro em uma partida importante do campeonato.	14	0	0	Santos enfrentou o Cruzeiro em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo.	14	1	0	Santos enfrentou o Cruzeiro em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos.	14	2	0	Santos enfrentou o Cruzeiro em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Após o apito final, o resultado teve impacto direto na classificação da competição.	14	3	0	Santos enfrentou o Cruzeiro em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Doc_13	14	-1	1	Santos enfrentou o Cruzeiro em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Atlético Mineiro enfrentou o Bahia em uma partida importante do campeonato.	15	0	0	Atlético Mineiro enfrentou o Bahia em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo.	15	1	0	Atlético Mineiro enfrentou o Bahia em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos.	15	2	0	Atlético Mineiro enfrentou o Bahia em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Após o apito final, o resultado teve impacto direto na classificação da competição.	15	3	0	Atlético Mineiro enfrentou o Bahia em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Doc_14	15	-1	1	Atlético Mineiro enfrentou o Bahia em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Fluminense enfrentou o Botafogo em uma partida importante do campeonato.	16	0	0	Fluminense enfrentou o Botafogo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo.	16	1	0	Fluminense enfrentou o Botafogo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos.	16	2	0	Fluminense enfrentou o Botafogo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Após o apito final, o resultado teve impacto direto na classificação da competição.	16	3	0	Fluminense enfrentou o Botafogo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Doc_15	16	-1	1	Fluminense enfrentou o Botafogo em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Vasco enfrentou o Fortaleza em uma partida importante do campeonato.	17	0	0	Vasco enfrentou o Fortaleza em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo.	17	1	0	Vasco enfrentou o Fortaleza em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos.	17	2	0	Vasco enfrentou o Fortaleza em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Após o apito final, o resultado teve impacto direto na classificação da competição.	17	3	0	Vasco enfrentou o Fortaleza em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
Doc_16	17	-1	1	Vasco enfrentou o Fortaleza em uma partida importante do campeonato . A equipe demonstrou organização tática e criou boas oportunidades de gol durante o jogo . Os torcedores acompanharam o confronto com grande expectativa e apoiaram o time durante os noventa minutos . Após o apito final , o resultado teve impacto direto na classificação da competição .
